"Notes"	"Census Region"	"Census Region Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2017"	"2017"	41	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"2018"	"2018"	30	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2014"	"2014"	28	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2015"	"2015"	22	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2016"	"2016"	26	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2017"	"2017"	22	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"2018"	"2018"	20	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of bones and joints"	"A18.0"	"2014"	"2014"	17	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of bones and joints"	"A18.0"	"2015"	"2015"	17	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of bones and joints"	"A18.0"	"2016"	"2016"	21	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of bones and joints"	"A18.0"	"2017"	"2017"	13	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Tuberculosis of bones and joints"	"A18.0"	"2018"	"2018"	23	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Miliary tuberculosis, unspecified"	"A19.9"	"2014"	"2014"	10	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary mycobacterial infection"	"A31.0"	"2014"	"2014"	34	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary mycobacterial infection"	"A31.0"	"2015"	"2015"	48	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary mycobacterial infection"	"A31.0"	"2016"	"2016"	28	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary mycobacterial infection"	"A31.0"	"2017"	"2017"	35	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary mycobacterial infection"	"A31.0"	"2018"	"2018"	35	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Mycobacterial infection, unspecified"	"A31.9"	"2017"	"2017"	10	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to streptococcus, group D"	"A40.2"	"2015"	"2015"	17	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to streptococcus, group D"	"A40.2"	"2016"	"2016"	22	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to streptococcus, group D"	"A40.2"	"2017"	"2017"	18	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to streptococcus, group D"	"A40.2"	"2018"	"2018"	13	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"2014"	"2014"	16	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"2016"	"2016"	19	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"2017"	"2017"	18	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"2018"	"2018"	13	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal septicaemia, unspecified"	"A40.9"	"2014"	"2014"	23	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal septicaemia, unspecified"	"A40.9"	"2015"	"2015"	20	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal septicaemia, unspecified"	"A40.9"	"2016"	"2016"	23	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal septicaemia, unspecified"	"A40.9"	"2017"	"2017"	23	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal septicaemia, unspecified"	"A40.9"	"2018"	"2018"	30	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"2014"	"2014"	102	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"2015"	"2015"	95	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"2016"	"2016"	124	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"2017"	"2017"	100	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"2018"	"2018"	93	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"2014"	"2014"	48	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"2015"	"2015"	34	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"2016"	"2016"	42	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"2017"	"2017"	29	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"2018"	"2018"	25	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to anaerobes"	"A41.4"	"2014"	"2014"	38	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to anaerobes"	"A41.4"	"2015"	"2015"	40	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to anaerobes"	"A41.4"	"2016"	"2016"	24	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to anaerobes"	"A41.4"	"2017"	"2017"	30	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to anaerobes"	"A41.4"	"2018"	"2018"	28	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"2014"	"2014"	232	56152333	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"2015"	"2015"	214	56283891	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"2016"	"2016"	250	56209510	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"2017"	"2017"	220	56470581	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"2018"	"2018"	200	56111079	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified septicaemia"	"A41.8"	"2014"	"2014"	15	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified septicaemia"	"A41.8"	"2015"	"2015"	15	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified septicaemia"	"A41.8"	"2016"	"2016"	16	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia, unspecified"	"A41.9"	"2014"	"2014"	7919	56152333	14.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia, unspecified"	"A41.9"	"2015"	"2015"	8430	56283891	15.0
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia, unspecified"	"A41.9"	"2016"	"2016"	8179	56209510	14.6
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia, unspecified"	"A41.9"	"2017"	"2017"	7967	56470581	14.1
	"Census Region 1: Northeast"	"CENS-R1"	"Septicaemia, unspecified"	"A41.9"	"2018"	"2018"	7662	56111079	13.7
	"Census Region 1: Northeast"	"CENS-R1"	"Legionnaires disease"	"A48.1"	"2014"	"2014"	36	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Legionnaires disease"	"A48.1"	"2015"	"2015"	54	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Legionnaires disease"	"A48.1"	"2016"	"2016"	42	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Legionnaires disease"	"A48.1"	"2017"	"2017"	55	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Legionnaires disease"	"A48.1"	"2018"	"2018"	86	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Staphylococcal infection, unspecified"	"A49.0"	"2014"	"2014"	96	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Staphylococcal infection, unspecified"	"A49.0"	"2015"	"2015"	110	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Staphylococcal infection, unspecified"	"A49.0"	"2016"	"2016"	122	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Staphylococcal infection, unspecified"	"A49.0"	"2017"	"2017"	128	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Staphylococcal infection, unspecified"	"A49.0"	"2018"	"2018"	179	56111079	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal infection, unspecified"	"A49.1"	"2014"	"2014"	41	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal infection, unspecified"	"A49.1"	"2015"	"2015"	37	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal infection, unspecified"	"A49.1"	"2016"	"2016"	31	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal infection, unspecified"	"A49.1"	"2017"	"2017"	57	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Streptococcal infection, unspecified"	"A49.1"	"2018"	"2018"	67	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other bacterial infections of unspecified site"	"A49.8"	"2014"	"2014"	37	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other bacterial infections of unspecified site"	"A49.8"	"2015"	"2015"	40	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other bacterial infections of unspecified site"	"A49.8"	"2016"	"2016"	38	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other bacterial infections of unspecified site"	"A49.8"	"2017"	"2017"	64	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other bacterial infections of unspecified site"	"A49.8"	"2018"	"2018"	65	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Bacterial infection, unspecified"	"A49.9"	"2014"	"2014"	149	56152333	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Bacterial infection, unspecified"	"A49.9"	"2015"	"2015"	180	56283891	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Bacterial infection, unspecified"	"A49.9"	"2016"	"2016"	147	56209510	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Bacterial infection, unspecified"	"A49.9"	"2017"	"2017"	191	56470581	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Bacterial infection, unspecified"	"A49.9"	"2018"	"2018"	205	56111079	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Lyme disease"	"A69.2"	"2017"	"2017"	10	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"2014"	"2014"	88	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"2015"	"2015"	85	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"2016"	"2016"	99	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"2017"	"2017"	105	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"2018"	"2018"	93	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Progressive multifocal leukoencephalopathy"	"A81.2"	"2016"	"2016"	13	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Progressive multifocal leukoencephalopathy"	"A81.2"	"2018"	"2018"	11	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral encephalitis"	"A86"	"2014"	"2014"	13	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral encephalitis"	"A86"	"2015"	"2015"	18	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral encephalitis"	"A86"	"2016"	"2016"	25	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral encephalitis"	"A86"	"2017"	"2017"	21	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral encephalitis"	"A86"	"2018"	"2018"	17	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral encephalitis"	"B00.4"	"2014"	"2014"	13	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral encephalitis"	"B00.4"	"2015"	"2015"	25	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral encephalitis"	"B00.4"	"2016"	"2016"	25	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral encephalitis"	"B00.4"	"2017"	"2017"	48	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral encephalitis"	"B00.4"	"2018"	"2018"	38	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral infection, unspecified"	"B00.9"	"2014"	"2014"	12	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Herpesviral infection, unspecified"	"B00.9"	"2016"	"2016"	12	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Disseminated zoster"	"B02.7"	"2018"	"2018"	11	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Zoster without complication"	"B02.9"	"2014"	"2014"	23	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Zoster without complication"	"B02.9"	"2015"	"2015"	17	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Zoster without complication"	"B02.9"	"2016"	"2016"	24	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Zoster without complication"	"B02.9"	"2017"	"2017"	19	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Zoster without complication"	"B02.9"	"2018"	"2018"	18	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"2014"	"2014"	79	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"2015"	"2015"	65	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"2016"	"2016"	66	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"2017"	"2017"	51	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"2018"	"2018"	59	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute viral hepatitis, unspecified"	"B17.9"	"2014"	"2014"	18	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute viral hepatitis, unspecified"	"B17.9"	"2015"	"2015"	13	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute viral hepatitis, unspecified"	"B17.9"	"2016"	"2016"	14	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute viral hepatitis, unspecified"	"B17.9"	"2017"	"2017"	11	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute viral hepatitis, unspecified"	"B17.9"	"2018"	"2018"	14	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"2014"	"2014"	17	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"2015"	"2015"	24	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"2017"	"2017"	22	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"2018"	"2018"	11	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis C"	"B18.2"	"2014"	"2014"	1105	56152333	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis C"	"B18.2"	"2015"	"2015"	1013	56283891	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis C"	"B18.2"	"2016"	"2016"	782	56209510	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis C"	"B18.2"	"2017"	"2017"	683	56470581	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic viral hepatitis C"	"B18.2"	"2018"	"2018"	515	56111079	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	"2014"	"2014"	10	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	"2015"	"2015"	12	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in mycobacterial infection"	"B20.0"	"2016"	"2016"	11	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other bacterial infections"	"B20.1"	"2014"	"2014"	139	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other bacterial infections"	"B20.1"	"2015"	"2015"	126	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other bacterial infections"	"B20.1"	"2016"	"2016"	102	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other bacterial infections"	"B20.1"	"2017"	"2017"	79	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other bacterial infections"	"B20.1"	"2018"	"2018"	97	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other viral infections"	"B20.3"	"2014"	"2014"	95	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other viral infections"	"B20.3"	"2015"	"2015"	77	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other viral infections"	"B20.3"	"2016"	"2016"	81	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other viral infections"	"B20.3"	"2017"	"2017"	33	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other viral infections"	"B20.3"	"2018"	"2018"	45	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other mycoses"	"B20.5"	"2014"	"2014"	15	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other mycoses"	"B20.5"	"2015"	"2015"	11	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other mycoses"	"B20.5"	"2016"	"2016"	13	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other mycoses"	"B20.5"	"2018"	"2018"	10	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"2014"	"2014"	24	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"2015"	"2015"	19	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"2016"	"2016"	23	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"2017"	"2017"	19	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"2018"	"2018"	23	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in multiple infections"	"B20.7"	"2014"	"2014"	143	56152333	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in multiple infections"	"B20.7"	"2015"	"2015"	150	56283891	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in multiple infections"	"B20.7"	"2016"	"2016"	145	56209510	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in multiple infections"	"B20.7"	"2017"	"2017"	133	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in multiple infections"	"B20.7"	"2018"	"2018"	90	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"2014"	"2014"	101	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"2015"	"2015"	81	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"2016"	"2016"	86	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"2017"	"2017"	65	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"2018"	"2018"	69	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with Kaposi sarcoma"	"B21.0"	"2015"	"2015"	10	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"2014"	"2014"	43	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"2015"	"2015"	32	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"2016"	"2016"	29	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"2017"	"2017"	28	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"2018"	"2018"	27	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"2014"	"2014"	44	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"2015"	"2015"	41	56283891	0.1
